,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count,hour_of_day,day_of_week,day_of_month,month,7DayAvg,7DayAvg_new
0,2011-01-01 00:00:00,Spring,0,0,Clear Skies,9.84,14.395,81,0.0,1,0,5,1,1,,
1,2011-01-01 01:00:00,Spring,0,0,Clear Skies,9.02,13.635,80,0.0,2,1,5,1,1,1.0,
2,2011-01-01 02:00:00,Spring,0,0,Clear Skies,9.02,13.635,80,0.0,3,2,5,1,1,25.0,
3,2011-01-01 03:00:00,Spring,0,0,Clear Skies,9.84,14.395,75,0.0,4,3,5,1,1,48.0,
4,2011-01-01 04:00:00,Spring,0,0,Clear Skies,9.84,14.395,75,0.0,5,4,5,1,1,70.0,
5,2011-01-01 05:00:00,Spring,0,0,Partly Cloudy,9.84,12.88,75,6.0032,6,5,5,1,1,93.0,
6,2011-01-01 06:00:00,Spring,0,0,Clear Skies,9.02,13.635,80,0.0,7,6,5,1,1,116.0,
7,2011-01-01 07:00:00,Spring,0,0,Clear Skies,8.2,12.88,86,0.0,8,7,5,1,1,139.0,70.28571428571429
8,2011-01-01 08:00:00,Spring,0,0,Clear Skies,9.84,14.395,75,0.0,9,8,5,1,1,162.0,93.28571428571429
9,2011-01-01 09:00:00,Spring,0,0,Clear Skies,13.12,17.425,76,0.0,10,9,5,1,1,186.0,116.28571428571429
10,2011-01-01 10:00:00,Spring,0,0,Clear Skies,15.58,19.695,76,16.9979,11,10,5,1,1,210.0,139.42857142857142
11,2011-01-01 11:00:00,Spring,0,0,Clear Skies,14.76,16.665,81,19.0012,12,11,5,1,1,234.0,162.85714285714286
12,2011-01-01 12:00:00,Spring,0,0,Clear Skies,17.22,21.21,77,19.0012,13,12,5,1,1,256.0,186.14285714285714
13,2011-01-01 13:00:00,Spring,0,0,Partly Cloudy,18.86,22.725,72,19.9995,14,13,5,1,1,278.0,209.28571428571428
14,2011-01-01 14:00:00,Spring,0,0,Partly Cloudy,18.86,22.725,72,19.0012,15,14,5,1,1,302.0,232.57142857142858
15,2011-01-01 15:00:00,Spring,0,0,Partly Cloudy,18.04,21.97,77,19.9995,16,15,5,1,1,325.0,255.85714285714286
16,2011-01-01 16:00:00,Spring,0,0,Partly Cloudy,17.22,21.21,82,19.9995,17,16,5,1,1,349.0,279.14285714285717
17,2011-01-01 17:00:00,Spring,0,0,Partly Cloudy,18.04,21.97,82,19.0012,18,17,5,1,1,373.0,302.42857142857144
18,2011-01-01 18:00:00,Spring,0,0,Light Storms/Rain,17.22,21.21,88,16.9979,19,18,5,1,1,409.0,327.42857142857144
19,2011-01-01 19:00:00,Spring,0,0,Light Storms/Rain,17.22,21.21,88,16.9979,20,19,5,1,1,432.0,352.57142857142856
20,2011-01-01 20:00:00,Spring,0,0,Partly Cloudy,16.4,20.455,87,16.9979,21,20,5,1,1,455.0,377.85714285714283
21,2011-01-01 21:00:00,Spring,0,0,Partly Cloudy,16.4,20.455,87,12.998,22,21,5,1,1,479.0,403.14285714285717
22,2011-01-01 22:00:00,Spring,0,0,Partly Cloudy,16.4,20.455,94,15.0013,23,22,5,1,1,502.0,428.42857142857144
23,2011-01-01 23:00:00,Spring,0,0,Partly Cloudy,18.86,22.725,88,19.9995,24,23,5,1,1,525.0,453.57142857142856
24,2011-01-02 00:00:00,Spring,0,0,Partly Cloudy,18.86,22.725,88,19.9995,25,0,6,2,1,549.0,478.7142857142857
25,2011-01-02 01:00:00,Spring,0,0,Partly Cloudy,18.04,21.97,94,16.9979,26,1,6,2,1,573.0,502.14285714285717
26,2011-01-02 02:00:00,Spring,0,0,Partly Cloudy,17.22,21.21,100,19.0012,27,2,6,2,1,597.0,525.7142857142857
27,2011-01-02 03:00:00,Spring,0,0,Partly Cloudy,18.86,22.725,94,12.998,28,3,6,2,1,621.0,549.4285714285714
28,2011-01-02 04:00:00,Spring,0,0,Partly Cloudy,18.86,22.725,94,12.998,29,4,6,2,1,644.0,573.0
29,2011-01-02 06:00:00,Spring,0,0,Light Storms/Rain,17.22,21.21,77,19.9995,30,6,6,2,1,667.0,596.5714285714286
30,2011-01-02 07:00:00,Spring,0,0,Partly Cloudy,16.4,20.455,76,12.998,31,7,6,2,1,689.0,620.0
31,2011-01-02 08:00:00,Spring,0,0,Light Storms/Rain,16.4,20.455,71,15.0013,32,8,6,2,1,713.0,643.4285714285714
